run,lang,n,ref,chrf,comet,p50,p95,max,ttft_p50,req_p50,req_p95,req_max,out_tok_per_s,load_ms,vram_mib,caps,failures
gemma4-e4b-q4.clauses+asr,fr,300,pseudo(gemma4-26b),73.1,,492.5,771.1,979.3,79.0,525.4,807.9,980.2,31.0,1898.0,3986,0,
gemma4-e4b-q4.clauses+asr,pt,300,pseudo(gemma4-26b),74.2,,458.9,745.3,971.2,79.6,525.4,807.9,980.2,30.0,1898.0,3986,0,
gemma4-e4b-q4.clauses,de,300,pseudo(gemma4-26b),70.6,,209.1,323.9,395.7,45.4,227.2,339.7,429.2,70.0,1429.0,3986,0,
gemma4-e4b-q4.clauses,es,300,pseudo(gemma4-26b),75.6,,198.4,308.3,419.5,44.7,227.2,339.7,429.2,67.0,1429.0,3986,0,
gemma4-e4b-q4.clauses,fr,300,pseudo(gemma4-26b),73.1,,217.8,333.4,428.2,45.1,227.2,339.7,429.2,71.0,1429.0,3986,0,
gemma4-e4b-q4.clauses,pt,300,pseudo(gemma4-26b),74.2,,203.1,310.1,420.1,45.7,227.2,339.7,429.2,68.0,1429.0,3986,0,
gemma4-e4b-q4.flores-zh,zh,500,flores,29.7,,209.1,374.4,634.6,20.4,209.6,374.8,635.2,124.0,1550.0,3816,0,
gemma4-e4b-q4.flores,de,500,flores,63.6,,425.1,695.6,1053.7,54.7,452.7,746.8,1132.7,80.0,1485.0,3986,0,
gemma4-e4b-q4.flores,es,500,flores,54.1,,401.8,676.5,1131.2,54.1,452.7,746.8,1132.7,78.0,1485.0,3986,0,
gemma4-e4b-q4.flores,fr,500,flores,69.8,,434.2,724.4,1107.1,54.4,452.7,746.8,1132.7,80.0,1485.0,3986,0,
gemma4-e4b-q4.flores,pt,500,flores,70.9,,417.8,672.6,1021.6,55.0,452.7,746.8,1132.7,78.0,1485.0,3986,0,
hymt18-q4.clauses+asr,de,300,pseudo(gemma4-26b),58.7,,289.4,455.1,622.7,30.4,327.4,513.4,623.6,66.0,659.0,1874,0,
hymt18-q4.clauses+asr,es,300,pseudo(gemma4-26b),66.6,,285.5,430.8,586.6,30.1,327.4,513.4,623.6,64.0,659.0,1874,0,
hymt18-q4.clauses+asr,fr,300,pseudo(gemma4-26b),60.3,,287.8,453.6,554.1,30.2,327.4,513.4,623.6,66.0,659.0,1874,0,
hymt18-q4.clauses+asr,pt,300,pseudo(gemma4-26b),65.1,,288.7,438.5,554.3,30.5,327.4,513.4,623.6,64.0,659.0,1874,0,
hymt18-q4.clauses,de,300,pseudo(gemma4-26b),58.7,,110.3,172.4,220.2,17.0,123.2,188.7,221.2,172.0,462.0,1874,0,
hymt18-q4.clauses,es,300,pseudo(gemma4-26b),66.6,,107.0,164.2,215.4,16.7,123.2,188.7,221.2,167.0,462.0,1874,0,
hymt18-q4.clauses,fr,300,pseudo(gemma4-26b),60.3,,109.5,173.0,202.4,16.8,123.2,188.7,221.2,171.0,462.0,1874,0,
hymt18-q4.clauses,pt,300,pseudo(gemma4-26b),65.1,,107.4,170.0,207.6,17.1,123.2,188.7,221.2,167.0,462.0,1874,0,
hymt18-q4.clauses.oneprompt,de,300,pseudo(gemma4-26b),1.1,,77.0,80.3,97.4,13.0,96.2,99.9,118.9,,296.0,1678,0,
hymt18-q4.clauses.oneprompt,es,300,pseudo(gemma4-26b),1.7,,36.4,38.3,46.6,13.0,96.2,99.9,118.9,738.0,296.0,1678,0,
hymt18-q4.clauses.oneprompt,fr,300,pseudo(gemma4-26b),2.1,,55.1,57.6,70.0,13.0,96.2,99.9,118.9,,296.0,1678,0,
hymt18-q4.clauses.oneprompt,pt,300,pseudo(gemma4-26b),2.1,,95.8,99.5,118.4,13.0,96.2,99.9,118.9,,296.0,1678,0,
hymt18-q4.clauses.single,de,300,pseudo(gemma4-26b),58.5,,67.8,106.6,148.0,8.6,269.3,408.2,544.6,277.0,309.0,1676,0,
hymt18-q4.clauses.single,es,300,pseudo(gemma4-26b),66.9,,65.8,97.5,133.4,8.5,269.3,408.2,544.6,274.0,309.0,1676,0,
hymt18-q4.clauses.single,fr,300,pseudo(gemma4-26b),60.6,,67.8,108.2,141.0,8.5,269.3,408.2,544.6,277.0,309.0,1676,0,
hymt18-q4.clauses.single,pt,300,pseudo(gemma4-26b),65.1,,65.7,101.7,132.9,8.5,269.3,408.2,544.6,275.0,309.0,1676,0,
hymt18-q4.clauses.threads,de,300,pseudo(gemma4-26b),58.5,,174.5,272.9,367.6,19.3,182.9,283.6,370.8,111.0,289.0,2620,0,
hymt18-q4.clauses.threads,es,300,pseudo(gemma4-26b),66.9,,167.7,256.9,363.3,18.8,182.9,283.6,370.8,108.0,289.0,2620,0,
hymt18-q4.clauses.threads,fr,300,pseudo(gemma4-26b),60.6,,171.8,272.7,369.9,19.1,182.9,283.6,370.8,110.0,289.0,2620,0,
hymt18-q4.clauses.threads,pt,300,pseudo(gemma4-26b),65.1,,169.9,260.7,364.0,19.3,182.9,283.6,370.8,107.0,289.0,2620,0,
hymt18-q4.cpu,de,300,,,,744.9,1129.1,1457.4,115.6,801.0,1215.9,1458.4,26.0,424.0,786,0,
hymt18-q4.cpu,es,300,,,,726.5,1089.9,1378.5,115.2,801.0,1215.9,1458.4,25.0,424.0,786,0,
hymt18-q4.cpu,fr,300,,,,743.2,1143.6,1431.0,115.4,801.0,1215.9,1458.4,26.0,424.0,786,0,
hymt18-q4.cpu,pt,300,,,,714.4,1144.5,1406.5,115.7,801.0,1215.9,1458.4,25.0,424.0,786,0,
hymt18-q4.flores-zh,zh,500,flores,28.2,,83.8,145.1,243.0,9.9,84.2,145.5,243.7,278.0,393.0,1680,0,
hymt18-q4.flores,de,500,flores,59.9,,238.3,392.8,581.0,20.8,251.4,404.6,594.2,187.0,527.0,1876,0,
hymt18-q4.flores,es,500,flores,54.2,,229.8,367.2,580.4,20.5,251.4,404.6,594.2,182.0,527.0,1876,0,
hymt18-q4.flores,fr,500,flores,64.5,,233.1,376.6,592.6,20.6,251.4,404.6,594.2,185.0,527.0,1876,0,
hymt18-q4.flores,pt,500,flores,66.9,,228.7,367.6,573.4,20.9,251.4,404.6,594.2,182.0,527.0,1876,0,
hymt18-q8.clauses+asr,de,300,pseudo(gemma4-26b),59.3,,314.0,509.0,682.2,29.8,347.7,571.8,751.6,63.0,829.0,2612,0,too-long=1
hymt18-q8.clauses+asr,es,300,pseudo(gemma4-26b),64.8,,303.0,528.7,750.8,29.5,347.7,571.8,751.6,62.0,829.0,2612,0,fragment-continued=1
hymt18-q8.clauses+asr,fr,300,pseudo(gemma4-26b),59.1,,301.3,491.5,698.4,29.7,347.7,571.8,751.6,64.0,829.0,2612,0,fragment-continued=1;too-long=1
hymt18-q8.clauses+asr,pt,300,pseudo(gemma4-26b),63.6,,291.2,489.7,698.6,30.0,347.7,571.8,751.6,62.0,829.0,2612,0,
hymt18-q8.clauses,de,300,pseudo(gemma4-26b),59.3,,120.6,187.2,257.3,16.3,135.0,211.7,268.8,165.0,681.0,2612,0,too-long=1
hymt18-q8.clauses,es,300,pseudo(gemma4-26b),64.8,,116.3,197.0,266.8,16.0,135.0,211.7,268.8,159.0,681.0,2612,0,fragment-continued=1
hymt18-q8.clauses,fr,300,pseudo(gemma4-26b),59.1,,117.4,184.9,245.0,16.2,135.0,211.7,268.8,164.0,681.0,2612,0,fragment-continued=1;too-long=1
hymt18-q8.clauses,pt,300,pseudo(gemma4-26b),63.6,,112.8,185.1,267.9,16.5,135.0,211.7,268.8,159.0,681.0,2612,0,
